,cost
1,3260.5133159140023
2,2018.0872650710007
3,7848.141696768998
4,2564.097078507999
5,1085.5439347669962
6,2200.072109668996
7,1671.3210200339963
8,1713.1861396390013
9,11649.189912872003
10,2305.105637135006
11,13253.875435405993
12,1471.2099789939966
13,4414.249621118011
14,1357.4818075850053
15,5055.74601379699
16,2502.848759205008
17,1449.751030258005
18,6753.369116991002
19,2877.0187492019904
20,1988.131431087997
21,2936.7557874979975
22,3866.006625231006
23,1899.1010561460134
24,2822.5679744770023
25,1329.8318431329972
26,2795.4717399219953
27,6565.359996219006
28,1709.7102535640006
29,2635.197734196001
30,1173.412057693
31,5435.202052098
32,1927.6593388919864
33,3954.101200942998
34,1739.8537260669982
35,2766.653371648019
36,4162.230107174983
37,2.62249099399196
38,2.1212240920285694
39,1.3660371049772948
40,1.0310474809957668
41,0.1862241759954486
42,0.9232163990091067
43,0.24220686699845828
44,0.09676897802273743
45,0.06661044299835339
46,0.0935894809954334
47,0.3952802180137951
48,0.08929743801127188
49,6444.227820928005
50,1805.576507974998
51,15213.73695176898
52,2228.2657564780093
53,15608.138345010026
54,2598.0828764140024
55,1897.0525979829836
56,4.745437012999901
57,3251.7379594230006
58,2.282515011000214
59,1.7806775600038236
60,1.3773987040040083
61,0.9485893749952083
62,0.9728527539991774
63,0.6140492970007472
64,0.9659850720054237
65,0.14120728500711266
66,1.1604751400009263
67,1.1078739009972196
68,0.27991388099326286
69,0.6470054149976932
70,0.11535157400066964
71,0.08146561299508903
72,1.5481976269948063
73,1.346329200998298
74,2011.9423517479881
75,13874.757167921998
76,1513.1855483479885
77,2539.183972172992
78,3115.542918167994
79,4188.633481363999
80,4550.392250972
81,1939.1987677130091
82,4001.039663539006
83,15323.232398277003
84,2164.5512186410197
85,3799.646012591984
86,2741.696264895989
87,6544.107761541003
88,4.040589568990981
89,2.3702031550055835
90,4505.147477605991
91,1836.7898233479937
92,1891.7929042369942
93,2692.850948603009
94,1689.9765360039892
95,5210.957345539995
96,3.2220548819750547
97,3305.6482300139905
98,3.221894496004097
99,5274.689082166005
100,5536.954126615019
101,4259.657690479013
102,16552.453809517
103,14413.324465106998
104,9032.181420072011
105,6771.250216052984
106,6077.890904130007
107,3160.081697609974
108,5317.493926393974
109,16764.168408304977
110,4386.487170689972
111,4097.524507187016
112,5738.228166634974
113,11649.639993040997
114,12356.383838160022
115,299.86955383903114
116,15098.520130864985
117,4221.27584673604
118,2795.9978610349935
119,4711.188803688012
120,3507.6354136460286
121,3773.5226837140217
122,7527.112173377012
123,5097.317386195995
124,5494.933313624002
125,3918.6184071720054
126,5187.651596241019
127,7555.857673907012
128,4670.574377776007
129,2132.5138103800127
130,17464.191161426017
131,2401.060025048966
132,2987.334997230035
133,7492.287846100982
134,6139.450147118012
135,3627.3529154289863
136,4317.537620862015
137,7024.343886082002
138,2960.219799145998
139,8165.673357027001
140,7005.043437455024
141,4973.848482286965
142,3116.8274742270005
143,3764.5698530169902
144,6724.74629257404
145,4385.26741813001
146,4640.932629442017
147,1896.6852026850102
148,13053.99107493501
149,1546.590341461997
150,5147.292495363043
151,2839.6464448960032
152,6515.664284000988
153,14456.327918693016
154,3106.499256672978
155,3026.2524233110016
156,4005.130244532018
157,3635.288859852997
158,3713.4149370359955
159,9502.338549747015
160,4011.410592184984
161,4062.314271984971
162,3736.852382705023
163,5984.345539294998
164,3856.798912669008
165,6770.1061419899925
166,2419.185995048989
167,6208.604376314004
168,7861.267689027009
169,4462.136341392004
170,4844.480843049008
171,15922.289931479958
172,3.3493445350322872
173,995.6480285979924
174,4157.431762841006
175,2862.1794487679726
176,3347.7835139289964
177,6504.40861103998
178,3785.4135626939824
179,3094.7199002800044
180,3349.827438546985
181,9472.955014267995
182,6910.449669194
183,2503.4539178000414
184,1781.4861127460026
185,1851.7038141100202
186,2233.790528795973
187,37.14456829999108
188,35.79182625300018
189,1.1834463250124827
190,1.050822919991333
191,35.97675301297568
192,2317.0283329610247
193,2395.4974456380005
194,2774.5802368959994
195,1855.9515577639686
196,2357.0598523750086
197,2394.3533251409535
198,2082.1965809050016
199,3783.9900558589725
200,2283.3602543490124
201,2797.4389317010064
202,2227.6684638360166
203,2822.1598679609597
204,2247.9687749129953
205,1850.761658377014
206,2112.8596432489576
207,2858.165832903993
208,2521.887183064013
209,5834.875590067008
210,2156.456459718989
211,5042.601885619981
212,35.66019687894732
213,34.994509382988326
214,33.81755667796824
215,0.9502547470619902
216,1.2599259469425306
217,0.7764779760036618
218,0.9846551889786497
219,0.6999533449998125
220,0.10094144090544432
221,1.6728831350337714
222,0.7231594959739596
223,1.6925240439595655
224,0.9902706099674106
225,0.07245286391116679
226,0.16852643189486116
227,0.07335160591173917
228,0.7978616520995274
229,1.8565452750772238
230,0.5729740409879014
231,0.5644327669870108
232,0.07230951997917145
233,1.5512284099822864
234,0.9382580320816487
235,0.13376035203691572
236,0.7288910089991987
237,36.12400987802539
238,2177.935667696991
239,2118.4542974919314
240,34.42302041291259
241,1734.0913988089887
242,2629.009863821091
243,2314.0167092640186
244,2024.2081371379318
245,5171.368298084009
246,2217.5801776209846
247,2200.6270621960284
248,2603.1325207890477
249,2502.8867140520015
250,2789.452720811998
251,13946.06863375596
252,3492.7972738159588
253,2508.7854515819927
254,3301.9770724420086
255,3348.824857544969
256,2701.347463492013
257,3082.1602660880308
258,2345.3762149739778
259,2316.5985562729766
260,2631.9930525409873
261,3990.6238322560093
262,2598.5248953229748
263,44.37128938100068
264,2582.755247165973
265,2855.469861808
266,1986.702618529962
267,2699.5221089019906
268,2766.0844006569823
269,3191.9972843200667
270,35.47889487200882
271,35.39096266403794
272,0.21068683499470353
273,0.17180947808083147
274,0.7743814219720662
275,1.973580120014958
276,0.06692156195640564
277,2.2655907720327377
278,0.07189624896273017
279,0.0928825429873541
280,0.08726627402938902
281,0.9202889270382002
282,2.6778633530484512
283,2.073083834024146
284,0.6713712330674753
285,0.08794516103807837
286,0.5627944560255855
287,0.06846239196602255
288,0.0640496970154345
289,0.5303836899111047
290,1.3442993320059031
291,2244.7752811629325
292,2245.320476397057
293,2852.254045159905
294,3995.000520480913
295,2355.2859864189522
296,1761.7158389789984
297,2362.835764919
298,35.641554334026296
299,1796.7583807929768
300,2696.2341752760112
301,2373.857183173008
302,1836.4660112879938
303,36.41482658701716
304,33.69656827405561
305,2810.9896866329946
306,3611.7559967559646
307,2008.6447105199913
308,35.40807725599734
309,36.457513933011796
310,34.86579394800356
311,1981.0242903900216
312,3778.9321999899694
313,2839.5928721620003
314,3482.573634232045
315,2300.1674804579816
316,36.36638634902192
317,33.84314993099542
318,34.27131736202864
319,1.0432543749921024
320,34.74584441102343
321,1.6795235130121
322,2.3101096660248004
323,0.18680111598223448
324,1.108018486003857
325,0.5145592470071279
326,0.5482534689945169
327,1.1640945720137097
328,0.08931050496175885
329,0.09566907398402691
330,0.08143015898531303
331,1.2882358849747106
332,3081.3236374519765
333,2095.6220114579774
334,2067.272720204026
335,2150.52142588899
336,2037.942187705019
337,8497.474020361959
338,34.88808884297032
339,34.64336071402067
340,35.82530387805309
341,2003.9721491690143
342,2738.396414279996
343,2137.37309516198
344,5201.20508389303
345,1914.796444120002
346,6220.184901182889
347,1919.6472619179403
348,7028.2484761279775
349,6.456155324005522
350,2.493157211007201
351,1.3834071140008746
352,1.7969840529985959
353,1.9229721540032187
354,0.8006063429929782
355,2875.580005191994
356,0.8139897280052537
357,2739.0834460490005
358,1.7972821590083186
359,1.7699499049922451
360,0.8476089500036323
361,2073.513699086994
362,1.7133059350016993
363,1566.9237017060223
364,1.6993408520065714
365,14434.027126800996
366,2574.0641014599823
367,1751.4438525850128
368,1.9675966920040082
369,0.8901917149778455
370,13713.396535554988
371,2249.4992252710217
372,1342.9909554740007
373,2002.0601636219944
374,3.219857726013288
375,2.762551555992104
376,3534.305664606014
377,3.561869094002759
378,3.8101428170048166
379,1197.3932852929865
380,3.5650823750183918
381,4184.523144406005
382,3835.5880269269983
383,3.551867586997105
384,2050.2374440880085
385,1705.1216301350214
386,1342.2303756179754
387,5216.859372447012
388,4.2222682899737265
389,3417.087207493023
390,4.057870844990248
391,4.274003202008316
392,3.7749785270134453
393,4.450956067012157
394,4.410046777018579
395,4.379711762012448
396,4.596482864988502
397,2891.9651947329985
398,3.5366557840025052
399,3.5819766680069733
400,4.653027983993525
401,1436.1192933139973
402,4.661755463021109
403,4.910175753000658
404,4.522414362989366
405,4.528966143989237
406,4.270002106990432
407,4.358763063006336
408,1910.0793540730083
409,5.067314982996322
410,4003.9313741959922
411,4.310538320016349
412,4.914101306989323
413,5.214483017014572
414,1952.829994847998
415,3800.650830075989
416,4284.481020394
417,1870.9421713369957
418,13497.103804817001
419,2476.914322565004
420,1686.7928731950087
421,3410.633631428005
422,2.625878862992977
423,3591.8078615730046
424,4693.8360847160075
425,2.61156771700189
426,5808.518261413992
427,2800.5920923189988
428,2367.0648360510095
429,2158.6756950690033
430,2185.2091912819888
431,3505.4683954480133
432,2377.2968984740146
433,2909.8915195240115
434,1259.1969407290162
435,1.9049219930020627
436,4745.420115706016
437,2120.060595768009
438,1620.5831979840004
439,5615.7108540000045
440,4179.361711432983
441,1687.068975888993
442,4448.889292492
443,2125.2491532699933
444,5516.139932994003
445,1936.2291863779974
446,3156.057198294002
447,3111.0144479329974
448,1443.1392854730002
449,2846.0688011230013
450,11875.87162084099
451,2099.128701027992
452,1813.8490084649966
453,1478.7259089400031
454,13492.118865403012
455,3492.719795373996
456,2785.262922762995
457,1812.9801667960128
458,4557.568189416008
459,1481.7903917639924
460,3259.862888566
461,1445.8772156199993
462,2015.5600245620008
463,1625.4032113189896
464,2457.5150662909873
465,2796.7022102689953
466,8637.022283361002
467,7328.04862851603
468,107.94980768195819
469,7438.689852061041
470,6571.538306006987
471,7944.294462074002
472,107.84847079304745
473,7937.930030182004
474,7353.76615092298
475,7637.7244688249775
476,6681.529529990046
477,7508.433512624004
478,9614.398871904996
479,7583.0811182989855
480,5769.6067833679845
481,6287.7941717270005
482,6575.1435544020205
483,7009.421016389999
484,7391.2056381629955
485,7821.454178937012
486,8601.407765657
487,8278.318164581025
488,8247.667617583007
489,6855.014527975989
490,10483.940723303996
491,126.13055987999542
492,126.02527088898933
493,126.98223930399399
494,131.07349771697773
495,7532.457398025959
496,10473.391969445976
497,6685.720504142984
498,6904.778235517035
499,120.83872997702565
500,7363.585297849029
501,8047.117154803011
502,5435.823145450966
503,6549.128982280963
504,5551.50330020301
505,7149.735920095001
